Wire Dia,Speed,Annealer Ht,Anneal T
0.0045,18,8,715
0.0063,25,8,715
0.005,18,8,725
0.0071,20,8,730
0.0063,25,8,730
0.005,18,8,730
0.011,20,8,700
0.0196,15,8,740
0.0089,25,8,720
0.011,20,8,650
0.016,25,8,745
0.0125,18,8,740
0.011,18,8,690
0.018,15,8,690
0.0089,25,8,720
0.0071,18,8,730
0.028,16,8,750
0.02,20,8,720
0.021,18,8,750
0.005,18,8,650
0.0166,15,8,700
0.016,20,8,740
0.03,18,8,860
0.021,18,8,780
0.025,18,8,815
0.02,18,8,710
0.033,15,8,750
0.0385,15,8,800
0.035,15,8,800
0.028,18,8,830
0.0507,15,14,850
0.065,15,14,850
0.099,8,14,800
0.029,15,14,760
0.025,20,14,785
0.06,10,14,750
0.045,15,14,850
0.03,25,14,820
0.081,9,14,850
0.081,9,14,875
0.038,12,14,840
0.052,15,14,855
0.039,18,14,850
0.0363,15,14,820
0.0823,10,14,850
0.0415,15,14,785
0.0595,12,14,780
0.0183,18,8,715
0.0512,15,14,825
0.0162,25,8,750
0.0165,20,8,740
0.0338,25,14,840
0.0183,25,8,725
0.0663,15,14,900
0.0595,10,14,780
0.0546,12,14,750
0.0129,20,8,710
0.0324,18,14,725
0.0407,15,14,750
0.0546,12,14,730
0.0062,18,8,700
0.0153,20,8,720
0.0559,15,14,825
0.0113,22,8,680
0.0183,18,8,715
0.0458,16,14,785
0.0625,10,14,820
0.0204,16,8,710
0.0825,10,14,800
0.0113,18,8,690
0.005,18,8,715
0.0175,18,8,700
0.0205,20,8,720
0.0285,16,8,720
0.0205,20,14,730
0.0655,10,14,980
0.0543,14,14,800
0.038,15,14,860
0.0394,18,14,880
0.0755,12,14,980
0.0748,12,14,1000
0.0755,12,14,1000
0.035,18,14,840
0.0748,12,14,840
0.081,10,14,865
0.0592,13,14,800
0.0755,12,14,940
0.0697,12,14,840
0.0447,15,14,735
0.0338,18,14,755
0.0635,10,14,785
0.0344,18,14,730
0.0635,10,14,825
0.09,8.5,14,960
0.0853,5,14,805
0.0273,15,14,830
0.0378,12,14,815
0.03766,14,14,815
0.036,14,14,850
0.0385,14,14,820
0.0272,15,14,830
0.0455,12,14,830
0.0272,15,14,800
0.0516,12,14,800
0.0663,14,14,780
0.0622,10,14,820
0.0725,10,14,810
0.0905,10,14,820
0.0655,11,14,800
0.0566,11,14,875
0.0243,14,14,668
0.0803,8,14,840
0.0243,15,14,705
0.0595,12,14,775
0.0233,15,14,665
0.0566,12,14,795
0.0566,10,14,785
0.0399,12,14,825
0.0748,8,14,865
0.0678,12,14,850
0.0555,12,14,815
0.054,12,14,792
0.0295,12,14,710
0.0735,10,14,805
0.062,10,14,855
0.0735,8,14,780
0.0435,12,14,758
0.0615,10,14,875
0.0735,8,14,786
0.0605,10,14,825
0.0273,25,14,810
0.0246,25,14,800
0.0082,12,8,670
0.0074,12,8,645
0.0074,12,8,645
0.0082,12,8,670
0.0113,14,8,740
0.0112,12,8,680
0.00119,15,8,710
0.0153,12,8,730
0.0619,8,8,875
0.0168,12,8,700
0.0113,15,8,680
0.0059,10,8,660
0.0226,14,8,705
0.034,14,8,783
0.035,14,8,788
0.0118,15,8,680
0.0214,15,8,750
0.0213,13,8,750
0.0214,15,8,750
0.01101,15,8,690
0.0274,15,8,790
0.0124,15,8,683
0.0082,15,8,690
0.0555,8,8,895
0.0272,15,8,805
0.0102,15,8,685
0.0233,15,8,730
0.034,14,8,865
0.0115,13,8,695
0.0082,12,8,660
0.0272,15,8,795
0.0183,15,8,725
0.011,15,8,675
0.0225,15,8,743
0.0225,15,8,743
0.0336,15,8,800
0.0129,15,8,725
0.0272,25,8,985
0.0102,15,8,680
0.0243,14,8,770
0.0272,25,8,985
0.0272,25,8,994
0.0142,15,8,695
0.0383,12,8,760
0.0113,15,8,660
0.0305,14,8,740
0.0385,15,8,855
0.0653,8,8,995
0.0595,6,8,950
0.0465,10,8,905
0.0595,6,8,950
0.0394,10,8,750
0.0415,10,8,827
0.0165,10,8,700
0.0127,12,8,695
0.0113,15,8,688
0.0213,18,8,850
0.0123,15,8,700
0.0334,18,8,950
0.0203,18,8,770
0.0113,18,8,690
0.0113,20,8,700
0.0071,20,8,725
0.0435,12,8,930
0.021,18,8,845
0.0142,18,8,720
0.011,18,8,730
0.0102,20,8,690
0.0082,22,8,710
